kinase,ensemble,iteration,class_pair,probA,probB
MAPK1,9,2,1|2,-3.1792450729798056,1.1417862972870885
MAPK1,9,3,1|2,-3.277595869334227,1.0154817014405109
MAPK1,9,4,1|2,-3.120165080272432,0.4530652849196542
MAPK1,9,5,1|2,-3.158839733841344,0.8555161631798378
MAPK1,10,1,1|2,-4.062873270484129,1.3870242769699532
MAPK1,10,2,1|2,-4.015969269981106,1.6259738584546948
MAPK1,10,3,1|2,-3.366208497371331,1.1384573937518252
MAPK1,10,4,1|2,-3.730021323088851,1.0925770774277137
MAPK1,10,5,1|2,-3.218805905243049,0.7499771782968812
PRKAA1,1,1,1|2,-2.922216257859492,0.859210723352228
PRKAA1,1,2,1|2,-3.300638188482939,0.2247817740230151
PRKAA1,1,3,1|2,-3.1757849238692346,0.3355813285527157
PRKAA1,1,4,1|2,-3.31330983939988,0.4803278308178949
PRKAA1,1,5,1|2,-3.150864642707499,0.3277544429806548
PRKAA1,2,1,1|2,-2.4864993857504207,0.8914423489111184
PRKAA1,2,2,1|2,-2.72374871637669,0.5522037204737006
PRKAA1,2,3,1|2,-3.2606267707487735,0.05602221892331347
PRKAA1,2,4,1|2,-3.3340097028040145,0.049500545247020175
PRKAA1,2,5,1|2,-2.878916995721335,0.31895775239402835
PRKAA1,3,1,1|2,-2.9467628142702607,0.513323205081038
PRKAA1,3,2,1|2,-2.9770440440818136,0.6186888002284132
PRKAA1,3,3,1|2,-3.219925464981286,0.3692029878068609
PRKAA1,3,4,1|2,-3.2470507042603565,0.32262370271850954
PRKAA1,3,5,1|2,-3.1548731597763005,0.2429765919935972
PRKAA1,4,1,1|2,-2.710568360142102,0.7625595195692756
PRKAA1,4,2,1|2,-3.4884907498070126,0.6115555212632704
PRKAA1,4,3,1|2,-3.131868214317817,0.3986958898608521
PRKAA1,4,4,1|2,-3.316437372998165,0.08811334609592542
PRKAA1,4,5,1|2,-3.3060828640573043,0.34800214336384905
PRKAA1,5,1,1|2,-2.53473338030836,0.6088295659815698
PRKAA1,5,2,1|2,-3.2179853979296844,0.011992375607326178
PRKAA1,5,3,1|2,-3.303692697398211,0.02670641462871718
PRKAA1,5,4,1|2,-3.270202781537102,0.09323579821323039
PRKAA1,5,5,1|2,-3.194881066297816,0.05690066970272778
PRKAA1,6,1,1|2,-2.829421247243564,0.8318481609052408
PRKAA1,6,2,1|2,-3.039807884351753,0.2631452462153049
PRKAA1,6,3,1|2,-3.2637568122431615,0.6013291142443573
PRKAA1,6,4,1|2,-3.340498851710228,0.3364359114603422
PRKAA1,6,5,1|2,-3.262941262696734,0.35128346480254563
PRKAA1,7,1,1|2,-2.604919629921461,0.6013813075119521
PRKAA1,7,2,1|2,-3.195074208562924,0.6523006965351582
PRKAA1,7,3,1|2,-2.9932026640797704,0.3476780804506584
PRKAA1,7,4,1|2,-3.2487044101035623,0.08646164468678184
PRKAA1,7,5,1|2,-3.2934741696685057,-0.03511222096603721
PRKAA1,8,1,1|2,-2.481164931434568,1.0202839378107125
PRKAA1,8,2,1|2,-2.819179552002126,0.5927604669898761
PRKAA1,8,3,1|2,-2.832521420112551,0.5397361828236127
PRKAA1,8,4,1|2,-3.2185449444719567,0.015236740222447748
PRKAA1,8,5,1|2,-3.274498641542595,0.16057714234304793
PRKAA1,9,1,1|2,-2.807602332319114,1.265778742074559
PRKAA1,9,2,1|2,-3.0017786784291265,0.7688436902667344
PRKAA1,9,3,1|2,-3.3268789512659014,0.09985726507965656
PRKAA1,9,4,1|2,-3.352931264737848,0.3084880775207983
PRKAA1,9,5,1|2,-3.2742486119023684,0.053404480889009245
PRKAA1,10,1,1|2,-2.6912554582906063,0.9305638515616793
PRKAA1,10,2,1|2,-2.941359658216209,0.3443611215758559
PRKAA1,10,3,1|2,-3.3085326078474524,0.013914285056490778
PRKAA1,10,4,1|2,-3.264657014756029,0.3204443401932781
PRKAA1,10,5,1|2,-3.2976845928701954,0.1244390031384836
